in_table_job_id,out_condition,out_table_job_id
161014.5,PL-PARAD0050_PEX_EXPLOANRQTDTL_AWS_TRUST-OK,161015.25
161014.5,PL-PARAD0020_PEX_EXPLOANRQTDTL_AWS_PLCT-OK,161015.24
161014.5,PL-PARAD0001_PEX_EXPLOANRQTDTL_AWS_PREPROC-OK,161015.23
161014.5,PL-PARAD0010_PEX_EXPLOANRQTDTL_DAT_ONPM_FW-OK,161015.22
161014.5,PL-PARAD0010_PEX_EXPLOANRQTDTL_TOK_ONPM_FW-OK,161016.21
161014.5,PL-PARAD0010_PEX_EXPLOANRQTDTL_DAT_ONPM_FW-OK,161016.22
161014.3,PL-PARAD0050_PEX_EXPLOANCALCTOT_AWS_TRUST-OK,161016.13
161014.3,PL-PARAD0020_PEX_EXPLOANCALCTOT_AWS_PLCT-OK,161015.12
